log-TPM	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
b0002	28.0	10.308882907036402	1.5042132841770584	7.04977391832961	9.660239435124694	10.950259895373575	11.179193570765749	12.361644130312701	0.14591428554788868	0.021290978726950793	0.007656786960846297	0.040138152604689815	0.14731656097404233
b0003	28.0	9.867322728318927	1.1902934691142097	7.26520550660544	9.302286393602756	10.254319460194349	10.535080037184951	11.8839051312064	0.12062983059205132	0.014551556028667001	0.022921837371489704	0.09508343748112676	0.21303398594387535
b0004	28.0	10.011876175697797	1.2428531345895648	7.37195118355957	9.34284250027101	10.348379279935326	10.717324585125738	11.9927696226396	0.12413788512550614	0.015410214523433358	0.021532609939022947	0.0932648254318411	0.1768894022104672
b0005	28.0	5.367305612225524	1.072396233038072	1.878805274483205	4.992117531639151	5.624277365452698	5.966187392797259	7.24450569541342	0.19980159702391326	0.039920678173306225	-0.03639468743443555	-0.13601746300150572	0.2015334365741546
b0006	28.0	6.665754754532885	0.424595490388752	5.28592728503855	6.451733847023325	6.750946608237823	6.910911448521421	7.31660152898584	0.06369803661018524	0.0040574398679924985	0.21880106226473817	0.32376224272942494	0.5202629476778446
b0007	28.0	3.6816336637183116	0.6130957916201469	2.6482149830611	3.313742646268989	3.624267209363137	4.017923288079599	5.43122931448691	0.16652819036887642	0.027731638187532746	-0.04643488638558282	-0.09921426486029998	-0.18565172553977827
b0008	28.0	11.038070816725922	0.3925224494918088	10.33141555568525	10.801956262275723	11.167962523507926	11.316155745747112	11.5632241724825	0.03556078376458882	0.001264569341951844	0.26606274871861835	0.3639569108936364	0.2847755082026097
b0009	28.0	6.3594025192623755	0.3499092923938639	5.80399972377083	6.125126184105228	6.300122030979384	6.594756506887379	7.20113585713244	0.05502235333177963	0.0030274593661672004	0.006982085836511775	0.008514164877740303	-0.22398689010551417
b0010	28.0	5.288908316687093	0.5703777970459258	4.262386775704165	4.895988178808059	5.185585657725875	5.756219136874751	6.47525008714748	0.10784414531186343	0.011630359678046315	-0.17576147123694413	-0.3493716710917827	-0.19331875845292545
b0011	28.0	2.514854091594014	0.7105220201545875	1.10351424134831	1.9482927441310571	2.4343626113124097	2.976385136630433	3.89126534656561	0.28253011676881445	0.07982326688139993	-0.07006706953259347	-0.17349736862789536	-0.22891569697825168
b0014	28.0	10.441304570017184	0.5977691711906371	8.76566880048772	10.221077020769238	10.550533408350649	10.778442325328138	11.6322231451798	0.057250429501612875	0.003277611678119145	0.061839704523794496	0.12882564204942906	0.19879521053374485
b0015	28.0	7.9893879752357195	0.5916451356474759	6.50957336937511	7.732019290155432	8.016078964833365	8.341339429473338	9.24472451909738	0.07405387464989394	0.005483976350662204	0.029222335266080618	0.060252852713886446	-0.02409638915560544
b0016	28.0	6.154815373687833	0.3151233168790899	5.501414180207875	5.896889380076267	6.203772338587654	6.311589783190225	6.81314985327476	0.0511994751664297	0.002621386257317851	0.12412212204250894	0.13631107013902025	0.04381161664655534
b0018	28.0	2.102740253205987	1.5934577042502256	0.0	1.1150072140587037	1.812318011994735	3.0476417458238734	6.73484150718271	0.7578005423260086	0.5742616619495927	-0.06760361684930229	-0.3754152136950554	-0.468330292807395
b0019	28.0	6.384100135043864	0.6704317382071643	5.41251195003929	5.934261735428432	6.18948463335556	6.927917095993191	8.17466226964679	0.10501585564534036	0.011028329936922964	-0.07081962342833845	-0.16546630739939933	-0.08981381412543846
b0020	28.0	5.680781152001954	0.41718973613103266	5.01330059398963	5.371469635451767	5.654923379494591	5.913681176803391	6.64777436417976	0.07343879740623552	0.005393256964474105	-0.1291724225098714	-0.18780399052434193	-0.17634175700238527
b0021	28.0	2.1926332634387085	0.8085854819704696	0.73269314891762	1.7721379656705087	2.0375402645314153	2.34304822241913	4.67193072033	0.36877370030515927	0.13599404203675944	-0.03934941596277726	-0.11088316827885951	-0.2568456025904307
b0022	28.0	2.721470768070006	1.0697998468838128	0.0	2.1602233292026476	2.601322048134065	3.587168299051032	5.0622967197773	0.3930962108560461	0.15452463098938107	-0.0759000348478514	-0.28297358903398767	-0.08433736204461903
b0023	28.0	10.381013300031304	1.106398105054193	7.53133997812194	9.543351976094726	10.5239821596612	10.973464354710375	12.56814797062015	0.1065790085300109	0.011359085059240135	0.019995824826689327	0.07709960324294439	0.18017527345895887
b0025	28.0	8.3187357899817	0.3625832196424012	7.30030868758338	8.167617646566294	8.387410234577988	8.513669886525644	8.900400070938964	0.04358633676995274	0.0018997687530237343	0.1650456889634475	0.2085514829895773	0.17579411179430332
b0026	28.0	9.427764952242509	0.438809351282386	8.36494057851617	9.213608004701467	9.438981604578245	9.5680664311701	10.4620321386185	0.04654436693163525	0.002166378093066701	0.08979402986684215	0.1373171348460443	0.1325301403558299
b0027	28.0	7.405558445015062	0.4443793780590026	6.104034809067025	7.192124363627248	7.3584770941209	7.628173865496446	8.17974199881664	0.06000619417947201	0.003600743339904501	0.09681625928035373	0.14993519605556171	0.1741511761700575
b0028	28.0	7.297575014757969	0.6640344028670089	5.880427051430485	6.941940598719351	7.203429866381413	7.4952548794962714	9.300756763735446	0.09099384405424056	0.00827987965576745	-0.0732658143212216	-0.1695482680036449	-0.3461117715077872
b0029	28.0	7.679721655802873	0.3955677873642382	6.661847648404015	7.520180896377031	7.754082260621165	7.936083307973265	8.348936013701895	0.05150808910702425	0.00265308324345715	0.027683020493053316	0.0381624096143786	0.011500549369720777
b0030	28.0	5.5021031837025	1.4396761390770383	2.41777232887196	4.780902513371584	5.03648688349217	6.511617620245126	8.785694449942916	0.26165924029586174	0.0684655580322075	0.009540573640221942	0.04786749397181348	-0.3170865754794443
b0031	28.0	8.0574334515985	0.9218718819844478	6.442287505154	7.368048641233406	7.967320587472158	8.785204414303642	10.2657538260381	0.11441259645794025	0.01309024222824748	0.1267104787113427	0.4070844345805436	0.5826945013991861
b0032	28.0	8.456042325114677	1.8965816518042355	3.18758831830091	8.033318901441287	9.375436169756293	9.573463724443375	10.78780710344705	0.22428715217890244	0.05030472663252214	0.029971062611369153	0.1980957153008352	0.36363641816640935
b0033	28.0	8.641205918242902	1.8078333931934825	3.916622938510175	8.046643163482537	9.451220927165949	9.818890248573258	10.9086035863025	0.2092107757063017	0.04376914867163248	0.0418613348973566	0.2637381004040225	0.4260679718877507
b0034	28.0	4.77053635209127	1.1646827452118165	1.9002629504193052	3.9871500575325887	4.942794565661376	5.5326649005103	7.04271269924904	0.2441408385246351	0.05960474903551195	0.07133704181436812	0.289550376533458	0.4507120062514381
b0036	28.0	1.5179582479829439	0.5371872347619981	0.671833790480455	1.1155615463619766	1.5377021555683925	1.8767667524460112	2.78478312625884	0.3538880173257796	0.1252367288067713	-0.010266956228023047	-0.01922068188085319	-0.040525745398063695
b0037	28.0	3.289552952466896	0.41931916751600196	2.701139480132395	3.120931086700596	3.2203479864102453	3.3892710163708597	4.90456408520999	0.1274699552112535	0.016248589481558974	0.06778062718888785	0.09904936473266462	0.19989050094990873
b0038	28.0	3.1563312296308443	0.588250715811933	2.12731899261993	2.8331281172961376	3.0904804648003923	3.4343563287224326	5.39198111206919	0.18637166793192778	0.034734398607728756	0.01762979527018019	0.036141912466345925	0.041073390606145635
b0039	28.0	4.26433359180733	0.5455664284595619	3.60035958182388	3.9695793979932463	4.164268294017158	4.455779803846262	6.5608573684358	0.1279370895156299	0.0163678988737303	-0.10098354190789474	-0.1919992948174893	-0.16100769117609087
b0040	28.0	1.4117407896649539	0.3299704300300839	0.8257101210807796	1.1360759877789302	1.422075398350771	1.6400722720369874	1.93060348024387	0.23373301419476253	0.05463112192456906	-0.38302845793548224	-0.4404610007563304	-0.37185109628763846
