log-TPM	42c__wt_42c	cra_crp__delcra_ac	cra_crp__delcra_fru	cra_crp__delcra_glc	cra_crp__wt_ac	cra_crp__wt_fru	fur__delfur_fe2	fur__wt_fe	ica__ade_glc	ica__arg_sbt	ica__bw_delpurR_cytd	ica__cytd_rib	ica__gth	ica__leu_glcr	ica__met_glc	ica__no3_anaero	ica__phe_acgam	ica__thm_gal	ica__tyr_glcn	ica__ura_pyr	ica__wt_glc	omics__bw_ac	omics__bw_fum	omics__bw_glc	omics__bw_pyr	rpoB__rpoBE546V_glc	rpoB__rpoBE546V_lb	rpoB__rpoBE672K_glc	rpoB__rpoBE672K_lb	rpoB__wt_lb	ssw__wt_ac	ssw__wt_glc	ssw__wt_glyc	ssw__wt_xyl	ytf__delyafC	ytf__delybaO	ytf__delybaQ	ytf__delybiH	ytf__delydcI_ph5	ytf__delydcI_ph8	ytf__delyddM	ytf__delyeiE	ytf__delyheO	ytf__delyiaJ	ytf__delyieP	ytf__wt_glc	ytf__wt_ph5	ytf__wt_ph8
b0002	11.4997062351991	8.487038276289955	11.6492919420788	11.23025183754605	9.568949288974695	11.1980396962424	11.2219158524214	10.9219405247384	10.1269442115701	12.0002954705431	11.3554708760703	7.1628622237809445	8.319210586433083	12.361644130312701	11.00321155438795	10.978579266008751	10.6316954597822	11.0904698981128	11.03182815390625	11.497324859581049	11.1729115289402	9.21983490626447	9.69066948384136	10.2134690511185	10.7063508685039	10.9273537931484	8.163974953294606	11.0002296505734	8.145484555680465	7.493017171640879	7.04977391832961	10.4457758910164	7.67801781870369	12.1161768852179	9.31282484806231	9.435166408122274	11.097921159364748	10.9973294579848	11.00607445128875	11.16023054187845	11.11283040687005	10.87481561532245	9.401156292390993	10.108921031126895	10.83623750446895	11.2641286343392	11.06991020287925	11.1359834766503
b0003	10.7703974019362	8.546122611554924	11.39272195893315	11.10609230673455	8.831855869711504	10.18202916952915	10.8795475651585	10.687397194390151	9.66765647456931	11.46228560088335	10.6899824935171	7.80590400593802	7.711763399815805	11.403575779777	10.31093376007185	10.4592896700896	9.912366362505423	10.4026625555505	10.394478237601351	10.83304327285795	10.525031828841618	8.9632798367055	9.415288579235174	9.643784116909476	10.19770516031685	10.2930106393587	8.127385778722225	10.6390286822041	7.70950071837658	7.902192785953121	7.26520550660544	9.78707537704232	8.38443960309396	11.8839051312064	8.68066170327635	8.993281867483834	10.47995436942475	10.34601101825795	10.3218160748918	10.52950613532835	10.4128061217314	9.861151442029644	8.93374309019611	9.36961628476797	10.678402704389349	10.56522466221495	10.40841761838385	10.5078474311941
b0004	10.7850053427226	7.748146260242001	10.7176542887601	10.4866869015217	8.680002828767465	10.03773962141304	10.174902910346301	10.254460456390749	10.31968980908735	11.58299817165865	10.9897158031057	7.978095208472094	7.557830898297166	11.844689156472999	10.705726025908849	10.5939794843734	10.30034129725805	10.6335091243013	10.752120262776401	11.1516507706315	10.83999957225865	8.7708053903467	9.533521536912446	9.876957274609076	10.3770687507833	10.2468926299361	8.06542793846107	10.878996227829251	7.808035903052105	8.013111305426545	7.37195118355957	9.91662143636897	8.74575423611205	11.9927696226396	8.73559780521476	9.118080494394505	10.69236931112495	10.279033426050951	10.535824971975899	10.64671215706015	10.7289839734985	9.682288222533696	9.164724000931969	9.35534031318356	10.68374083714905	10.529720597932151	10.53592350045195	10.65049005360565
b0005	5.45577205676328	3.399997653179935	5.4714902598287996	5.8187309139728995	4.576969201373094	6.05880232521745	6.331910586513005	6.563466753358851	5.597313270665695	5.89148687351756	6.164810032650955	3.16185426717652	4.999831988185245	6.20757877395082	6.111747696291695	5.373674101498245	5.168578572151895	4.686068322973565	5.703922555762174	5.96238854984542	5.977583921652777	4.59734696906553	5.55438531969098	5.90934877318758	6.08272145299612	7.5516873176697	3.848184016804745	7.016683715293585	3.9227638366933704	1.878805274483205	3.70723308290693	4.96897416200087	5.92517453634988	7.24450569541342	4.19021700409413	4.545073508543846	5.768176327812959	5.451972876684691	5.68102511901939	6.31443065958759	5.83169179841214	4.786873313024235	4.21511968997231	4.63918825065383	5.9504419097584	5.591735841117035	5.67604534447912	5.6512414602397
b0006	7.31660152898584	6.6470956005423645	6.973928119676245	6.937212213579285	6.27317387189647	6.55546796864561	6.839813577002295	6.789172757572845	7.26648194496623	6.149227054288545	7.199466444120645	6.193034559547205	6.235536045940025	6.78066841626616	6.721224800209486	7.116259373619394	6.887220854343345	6.6639052963459555	6.86669725569526	6.981983231055651	6.852355473432227	6.488187161461505	6.3423739037087845	6.876792017747929	6.6508749705293155	6.88276722357363	6.963816430785499	7.01484365736256	6.84932795093548	6.617728983503775	6.59541415802206	6.9965024836128	6.18697027557468	5.28592728503855	6.76980719011524	6.77767530666972	7.085122208502815	6.748590295085441	6.9884355014648545	6.9825406775577346	7.20547638741139	7.0096945421686705	6.748234705979	6.71347049664409	6.89411891027456	6.80878095177515	7.108236859513475	7.03433364362245
b0007	3.64098681339184	3.252674016146565	3.20575499283538	3.212833278631665	4.061520318144311	4.139465500282645	3.41150230627373	3.385829494758725	3.17697798541649	3.55942316819334	3.30454355850342	4.3816386367606395	3.862914568069455	2.6482149830611	2.71492526144708	4.00676928293573	3.16715525723744	4.051385303511205	2.9857718633353647	3.033079922618465	3.0440145208345135	3.607547605334435	3.421323845328465	3.415858052999395	3.78220895379817	3.18441915904241	3.8612547335214	2.9017244919962	3.21569108670629	3.991544904933315	4.00538678159807	3.50137960602825	5.43122931448691	4.76473936616485	5.59565620963715	5.4351183681323345	3.79332219168003	5.209579154350095	3.186892471471725	3.7126132391250204	4.19233289982121	3.6328892726175	5.494507043103985	5.2474480815222	5.55165947169198	4.28693408441873	3.359330866553155	3.658186322470625
b0008	11.5478663847373	11.001330158760052	11.100890074919551	11.1541032320706	10.33141555568525	10.857157211653401	10.98488188625375	10.955782986698399	11.1541845551204	11.384616700293702	11.772949991460749	10.352785962498551	10.41068590135195	11.53381438339365	11.1821045056266	10.3798767992689	11.46526405492375	11.30376209626125	10.977949742375749	11.5632241724825	11.160652120950552	10.779929793037699	11.1752729260653	11.26832671175135	11.3533366942047	10.9777506116094	11.381942881879699	10.97771626936675	11.556150708760502	11.44636847029765	10.6125024406072	10.8126280118695	10.4976519121314	10.8092984186884	10.94739105961435	11.045316225693249	11.3099647671118	11.252610164446601	11.26307296160455	11.18238914972005	11.4255810738705	11.2355481942511	10.96581062973235	10.93843155570085	11.45960653249195	11.2310428654782	11.2839996814337	11.2344818094389
b0009	6.64668081706378	6.77031865623872	6.3913991943909245	6.211771901363216	6.04190624013869	5.80399972377083	6.063989055620115	6.001949853371965	6.094247346170651	6.580511645174164	6.56421623920376	6.342099842790045	6.63749109202702	6.05560174329629	6.22249398814179	6.940181411159536	6.13541913008342	6.35458576080429	6.152149970407115	6.332631968424366	6.089387615335905	6.658042839696845	6.675005611089125	6.278071276122195	6.529036572466024	6.70615048117631	7.465227262823965	6.74687349667375	7.4020624650340405	7.15538112276203	6.14447792377481	5.91330158938176	7.20113585713244	6.36798233614712	6.372665688419206	6.36235457521626	6.10329560539138	6.313848093579395	5.902208775211864	6.3515533995578	6.26172433260517	6.16327939255712	6.370452070209575	6.155943960377655	6.440295783649315	6.25018434290771	6.13714013387	6.322172785836575
b0010	4.90353684282899	4.262672453894295	4.60947345359639	4.499934100881135	5.017699406221305	4.954139555450245	4.35550154930828	4.880915015882145	6.285882791283445	4.689707457504105	5.94213740152271	4.90101256645003	6.343095653075315	4.67826831323017	5.45215187464711	5.31461972040216	5.087724936492775	5.40342799537768	4.78077421930522	4.805572092547315	5.360304782769709	5.644314040497134	5.777288815724345	5.753682536180625	5.882318340498831	5.34449604084916	4.971170367163525	4.915699340003285	4.63688385006349	4.262386775704165	5.76382893895713	5.24317634426039	6.47525008714748	5.85094280060941	5.705171209682245	5.693228286598315	5.398906475776215	4.8273099294166055	4.745412395947826	4.715814086710085	5.5165306523397	5.660769100227825	5.7585730082940305	5.0528605398361695	5.504485876927645	4.48213922689449	4.967276766105535	5.1279949711913595
b0011	2.88440392441565	2.74499982855659	2.538120260429695	2.2042642534798853	2.398134564081535	2.470590658543285	2.768335973056265	1.828558365422385	2.248972631472155	1.77868303359625	2.0472298677129848	2.82576341745769	3.439479224864245	1.367143904001085	1.92919965449557	2.484037055233765	1.5653025004076397	2.338949226377235	1.7153808271472202	2.157834586253105	1.954657107342886	2.9098869003257297	3.07381826986168	3.5001103816341548	3.378194800666325	2.90337628352549	1.26872017859638	2.180911400451365	1.546398516650505	2.94390742555335	3.26568684455114	1.10351424134831	3.89126534656561	3.40630363696133	3.071583368589055	3.235254280353095	1.79340459255988	3.049786746156415	2.2488245281594947	2.61830529305621	2.560609743766295	2.73972487366812	3.041829987690135	3.2750841858788053	2.47260861374144	2.8378878994623298	2.3964144207933247	2.32183371579739
