log-TPM	fur__wt_fe	omics__bw_ac	omics__bw_fum	omics__bw_glc	omics__bw_pyr	cra_crp__wt_ac	cra_crp__wt_fru	rpoB__wt_lb	42c__wt_42c	ssw__wt_ac	ssw__wt_glc	ssw__wt_glyc	ssw__wt_xyl	ica__wt_glc	ica__arg_sbt	ica__cytd_rib	ica__gth	ica__leu_glcr	ica__met_glc	ica__no3_anaero	ica__phe_acgam	ica__thm_gal	ica__tyr_glcn	ica__ura_pyr	ica__ade_glc	ytf__wt_glc	ytf__wt_ph5	ytf__wt_ph8
b0002	10.9219405247384	9.21983490626447	9.69066948384136	10.2134690511185	10.7063508685039	9.568949288974697	11.1980396962424	7.493017171640879	11.4997062351991	7.04977391832961	10.4457758910164	7.67801781870369	12.1161768852179	11.1729115289402	12.0002954705431	7.1628622237809445	8.319210586433083	12.3616441303127	11.00321155438795	10.978579266008753	10.6316954597822	11.0904698981128	11.03182815390625	11.497324859581049	10.1269442115701	11.2641286343392	11.06991020287925	11.1359834766503
b0003	10.687397194390153	8.9632798367055	9.415288579235174	9.643784116909476	10.19770516031685	8.831855869711504	10.18202916952915	7.902192785953121	10.7703974019362	7.26520550660544	9.78707537704232	8.38443960309396	11.8839051312064	10.525031828841618	11.46228560088335	7.80590400593802	7.711763399815805	11.403575779777	10.31093376007185	10.4592896700896	9.912366362505423	10.4026625555505	10.394478237601351	10.83304327285795	9.66765647456931	10.56522466221495	10.40841761838385	10.5078474311941
b0004	10.254460456390747	8.7708053903467	9.533521536912446	9.876957274609076	10.3770687507833	8.680002828767465	10.03773962141304	8.013111305426545	10.7850053427226	7.37195118355957	9.91662143636897	8.74575423611205	11.9927696226396	10.83999957225865	11.58299817165865	7.978095208472094	7.557830898297166	11.844689156473	10.705726025908849	10.5939794843734	10.30034129725805	10.6335091243013	10.7521202627764	11.1516507706315	10.31968980908735	10.529720597932153	10.53592350045195	10.65049005360565
b0005	6.563466753358851	4.59734696906553	5.55438531969098	5.90934877318758	6.08272145299612	4.576969201373094	6.05880232521745	1.878805274483205	5.45577205676328	3.70723308290693	4.96897416200087	5.92517453634988	7.24450569541342	5.977583921652777	5.89148687351756	3.16185426717652	4.999831988185245	6.20757877395082	6.111747696291695	5.373674101498245	5.168578572151895	4.686068322973565	5.703922555762174	5.96238854984542	5.597313270665695	5.591735841117035	5.67604534447912	5.6512414602397
b0006	6.789172757572845	6.488187161461505	6.3423739037087845	6.876792017747929	6.6508749705293155	6.27317387189647	6.55546796864561	6.617728983503775	7.31660152898584	6.59541415802206	6.9965024836128	6.18697027557468	5.28592728503855	6.852355473432227	6.149227054288545	6.193034559547205	6.235536045940025	6.78066841626616	6.721224800209486	7.116259373619394	6.887220854343345	6.6639052963459555	6.86669725569526	6.981983231055651	7.26648194496623	6.80878095177515	7.108236859513475	7.03433364362245
b0007	3.385829494758725	3.607547605334435	3.421323845328465	3.415858052999395	3.78220895379817	4.061520318144311	4.139465500282645	3.991544904933315	3.64098681339184	4.00538678159807	3.50137960602825	5.43122931448691	4.76473936616485	3.0440145208345135	3.55942316819334	4.3816386367606395	3.862914568069455	2.6482149830611	2.71492526144708	4.00676928293573	3.16715525723744	4.051385303511205	2.9857718633353647	3.033079922618465	3.17697798541649	4.28693408441873	3.359330866553155	3.658186322470625
b0008	10.9557829866984	10.7799297930377	11.1752729260653	11.26832671175135	11.3533366942047	10.33141555568525	10.8571572116534	11.44636847029765	11.5478663847373	10.6125024406072	10.8126280118695	10.4976519121314	10.8092984186884	11.160652120950552	11.384616700293702	10.352785962498553	10.41068590135195	11.53381438339365	11.1821045056266	10.3798767992689	11.46526405492375	11.30376209626125	10.977949742375747	11.5632241724825	11.1541845551204	11.2310428654782	11.2839996814337	11.2344818094389
b0009	6.001949853371965	6.658042839696845	6.675005611089125	6.278071276122195	6.529036572466024	6.04190624013869	5.80399972377083	7.15538112276203	6.64668081706378	6.14447792377481	5.91330158938176	7.20113585713244	6.36798233614712	6.089387615335905	6.580511645174164	6.342099842790045	6.63749109202702	6.05560174329629	6.22249398814179	6.940181411159536	6.13541913008342	6.35458576080429	6.152149970407115	6.332631968424366	6.094247346170651	6.25018434290771	6.13714013387	6.322172785836575
b0010	4.880915015882145	5.644314040497134	5.777288815724345	5.753682536180625	5.882318340498831	5.017699406221305	4.954139555450245	4.262386775704165	4.90353684282899	5.76382893895713	5.24317634426039	6.47525008714748	5.85094280060941	5.360304782769709	4.689707457504105	4.90101256645003	6.343095653075315	4.67826831323017	5.45215187464711	5.31461972040216	5.087724936492775	5.40342799537768	4.78077421930522	4.805572092547315	6.285882791283445	4.48213922689449	4.967276766105535	5.1279949711913595
b0011	1.828558365422385	2.9098869003257297	3.07381826986168	3.5001103816341548	3.378194800666325	2.398134564081535	2.470590658543285	2.94390742555335	2.88440392441565	3.2656868445511398	1.10351424134831	3.89126534656561	3.40630363696133	1.954657107342886	1.77868303359625	2.82576341745769	3.439479224864245	1.367143904001085	1.92919965449557	2.484037055233765	1.5653025004076395	2.338949226377235	1.7153808271472202	2.157834586253105	2.248972631472155	2.8378878994623298	2.3964144207933247	2.32183371579739
