log-TPM	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
b0002	48.0	10.336942517729236	1.3468691053752377	7.04977391832961	9.53550356876159	10.952966529578575	11.163400788643887	12.361644130312701	0.13029666200282894	0.016977220129079443	-0.016882223824928124	-0.0770938931448919	0.02567861081175305
b0003	48.0	9.880737082484735	1.1252415088700305	7.26520550660544	8.98578135978925	10.316374917481824	10.583675667212237	11.8839051312064	0.113882344958324	0.012969188493206704	-0.016985468607743893	-0.0648019701822339	0.09397394358381508
b0004	48.0	9.938993485331475	1.163246622614605	7.37195118355957	9.153063124297603	10.3100155531727	10.695708489820923	11.9927696226396	0.11703867442225309	0.01369805131051816	-0.01443001264045198	-0.05691194712507002	0.06509229252281588
b0005	48.0	5.358021373593441	1.0774261790357362	1.878805274483205	4.674348304893631	5.624277365452698	5.966187392797259	7.5516873176697	0.20108657728499194	0.04043581156419303	-0.02873031540937332	-0.10495251499031047	0.05960912192664874
b0006	48.0	6.768178553466089	0.3579218870928799	5.28592728503855	6.649930128032578	6.844570763968887	6.9840143835345145	7.31660152898584	0.05288304442109947	0.00279661638724398	0.28389804695039383	0.34452091654412154	0.45629751347311714
b0007	48.0	3.8268366377275638	0.7978247597508064	2.6482149830611	3.2149766346876336	3.63693804300467	4.081006613678895	5.59565620963715	0.20848153064212518	0.04346454861888338	-0.007088366253812458	-0.019174259114788688	-0.09571118575289775
b0008	48.0	11.10415460411759	0.341698926849227	10.33141555568525	10.953685004927387	11.167962523507926	11.320807748885025	11.772949991460749	0.030772169429496222	0.0009469264113976217	0.33603991055055643	0.3893134498630849	0.2482627637254687
b0009	48.0	6.399643770180126	0.3719501778498791	5.80399972377083	6.142643476298607	6.337365905607205	6.594756506887379	7.465227262823965	0.0581204503261609	0.003377986746115737	0.26438859887828187	0.3334205983704916	0.06503800370503206
b0010	48.0	5.212634645547448	0.5517283743870557	4.262386775704165	4.799372624236792	5.107859953842067	5.668883896820448	6.47525008714748	0.10584443604892461	0.011203044642514893	-0.12099789919336924	-0.22634352860198761	-0.15162866807024583
b0011	48.0	2.515110152931468	0.6431964749464876	1.10351424134831	2.130183406618075	2.51107865783173	2.968388066087546	3.89126534656561	0.25573292453883767	0.06539932869318685	-0.13508104845519855	-0.2945798325527125	-0.23843648770659495
b0014	48.0	10.503151943621816	0.5236537257891642	8.76566880048772	10.235320251424296	10.53915037243345	10.787758955303275	11.6322231451798	0.04985681713451363	0.0024857022147843316	0.056183185571327295	0.09975059396590999	0.14592834220294335
b0015	48.0	8.043681919071778	0.5986559664945882	6.50957336937511	7.7016902688781865	8.00551076870277	8.496081737189623	9.371639881051646	0.07442561410529665	0.005539172034950533	0.1585539211856553	0.3218245975335786	0.21150923408581374
b0016	48.0	6.151388030536924	0.31708980114205665	5.501414180207875	5.901343356367769	6.15722001905781	6.3164900501180625	7.013813813137615	0.05154768315182671	0.0026571636383211188	0.20467712214108374	0.2200475351175863	0.12676438952525027
b0018	48.0	1.927620978299153	1.3461280040191845	0.0	0.9809423445450103	1.8684395737404975	2.529399065013749	6.73484150718271	0.6983364567898344	0.48767380688178014	-0.0923549592633199	-0.4215135235421036	-0.46596942303355804
b0019	48.0	6.3873468517007455	0.5410622911102274	5.41251195003929	6.01078396222366	6.3343955364468725	6.707150183736863	8.17466226964679	0.08470845621389105	0.007175522554140697	-0.06095002865235339	-0.11181140734142475	-0.03599348619068134
b0020	48.0	5.758465465890288	0.3887278624888678	5.01330059398963	5.498110621485696	5.790116045133005	6.045036518691935	6.64777436417976	0.06750546040285552	0.0045569871842014945	-0.07545279412180896	-0.09944568183057231	-0.023669924553751227
b0021	48.0	2.222747896476713	0.6759963250991641	0.73269314891762	1.8488027367288224	2.1628177266134676	2.3616623727603714	4.67193072033	0.304126404155275	0.09249286970441765	-0.036466460838028646	-0.08358009944592308	-0.0951682975750594
b0022	48.0	2.7604367494198594	0.9997672729902409	0.0	2.2257280371380266	2.74554157690679	3.1950781660340537	5.10692430692813	0.3621772073568991	0.13117232952884228	-0.09638655056243965	-0.3267234354338831	-0.07117264011460518
b0023	48.0	10.312810523085407	0.9828495668496843	7.53133997812194	9.561487756127766	10.445004512720825	10.806885365473974	12.56814797062015	0.09530375494144475	0.009082805705938956	0.021348518310550388	0.07114096000680722	0.09674267329079057
