b2854, b2854
ychJ, b1233
yehE, b2112
cpxR, b3914
ugd, b2028
b3004, b3004
ydeJ, b1537
yggP, b2932
b2332, b2332
tdcR, b3119
ygcK, b2759
dsdC, b2364
b2845, b2845
yjfJ, b4184
b1696, b1696
yhfG, b3362
gef, b0018
yecT, b1877
b2354, b2354
ybeQ, b0644
b1169, b1169
b2649, b2649
ydfC, b1573
yehC, b2110
yafO, b0233
b2275, b2275
cspF, b1558
hemG, b3857
b1648, b1648
b2084, b2084
b3776, b3776
bolA, b0435
yagU, b0287
ybaQ, b0483
ygeK, b2855
yhdU, b3263
b2650, b2650
b0663, b0663
yjdI, b4128
slp, b3506
trkH, b3856
yjcD, b4066
ycjD, b1289
ygcW, b2774
yjhG, b4299
b2448, b2448
emrE, b0543
yjiU, b4345
yeaI, b1785
mcrD, b4346
csgD, b1040
b1502, b1502
b1721, b1721
yfjH, b2623
yhaV, b3130
ybcK, b0544
eaeH, b0297
sieB, b1353
yhiM, b3491
ybcL, b0545
b1506, b1506
ycdU, b1029
intC, b2349
ygeV, b2869
yi22_6, b4275
yfjJ, b2626
yahE, b0319
b1364, b1364
yadK, b0136
hlyE, b1182
b1409, b1409
ybfB, b0702
yjhS, b4311
b2107, b2107
rfaP, b3630
yfeC, b2398
yagL, b0278
yjhT, b4312
yhiE, b3512
racC, b1351
tdk, b1238
ygaP, b2668
ecpD, b0140
yodB, b1974
ycjM, b1309
ycaK, b0901
ybcR, b0554
ycaI, b0913
ybhM, b0787
yjgX, b4277
ydbL, b1383
b1368, b1368
pyrB, b4247
yi21_3, b1997
b1567, b1567
yrhB, b3446
b2446, b2446
b3007, b3007
b2971, b2971
b2174, b2174
b2658, b2658
yjgB, b4272
yhiJ, b3488
b1121, b1121
yedW, b1969
yheH, b3330
yciF, b1258
yjgZ, b4279
ycaN, b0900
yfbN, b2273
yqiG, b3046
marB, b1532
yi21_6, b4274
yagN, b0280
yi21_2, b1403
ygbF, b2754
b2758, b2758
emrY, b2367
yhcE, b3217
idnO, b4268
kch, b1250
yicK, b3659
yihZ, b3889
rimL, b1427
cpdB, b4215
ydaR, b1356
b1481, b1481
yafP, b0234
ykgJ, b0288
chpA, b2782
yfdL, b2355
b2443, b2443
yidQ, b3688
yqhH, b3014
btuB, b3972
aceA, b4017
b2972, b2972
yehA, b2108
hupA, b4002
fimA, b4316
b1345, b1345
yhiD, b3508
pyrL, b4248
yaiT, b0371
yjhD, b4283
ygeH, b2852
b1163, b1163
otsB, b1897
fdoG, b3896
ycdT, b1025
b1772, b1772
yraJ, b3144
yihM, b3875
ybcO, b0549
ypjF, b2646
yjfK, b4185
b1408, b1408
yhcA, b3215
ybeT, b0647
sulA, b0958
b0833, b0833
yagM, b0279
ybfG, b0690
b1771, b1771
b2445, b2445
yjjP, b4366
yhcG, b3220
ykgB, b0301
yadM, b0138
b2757, b2757
yiaM, b3577
b2755, b2755
rfaG, b3631
b1504, b1504
b1505, b1505
b0941, b0941
b1459, b1459
gltF, b3214
b1995, b1995
rpsR, b4204
yheE, b3324
b2274, b2274
b1471, b1471
tra8_3, b4286
sfmA, b0530
flxA, b1566
cmtB, b2934
evgA, b2369
yejO, b2190
yhbX, b3173
yagK, b0277
b1454, b1454
yecK, b1873
ydaW, b1361
b2191, b2191
yfjI, b2625
ydaY, b1366
yjdB, b4116
yedL, b1932
smf_1, b3286
b0942, b0942
sfmD, b0532
b0362, b0362
ymdD, b1047
b1438, b1438
ybeU, b0648
aroE, b3281
b2345, b2345
yphF, b2548
ychK, b1234
ybfC, b0704
dicC, b1569
yjhC, b4282
aidB, b4189
yrfA, b3392
ycbS, b0940
cobT, b1991
yjiO, b4339
ychG, b1239
yfcI, b2305
perR, b0254
nac, b1988
yhiX, b3516
b1545, b1545
yddM, b1477
yafM, b0228
b1499, b1499
yfiB, b2605
ydeK, b1510
b1551, b1551
ycgE, b1162
asr, b1597
yhcF, b3219
yjhE, b4284
flhE, b1878
b1685, b1685
ycdP, b1021
wcaF, b2054
ybcS, b0555
ybgD, b0719
entD, b0583
feaR, b1384
yfbL, b2271
yjhP, b4308
htgA, b0012
yhcD, b3216
yi91b, b4285
b1503, b1503
ybhH, b0769
b3027, b3027
yihE, b3861
yehB, b2109
cbl, b1987
ydaU, b1359
ydeH, b1535
htrE, b0139
ypjA, b2647
bglG, b3723
iap, b2753
yhiS, b3504
hipA, b1507
ybhD, b0768
yjhR, b4310
b1527, b1527
idnK, b4271
ybgP, b0717
tra8_1, b0256
ymcC, b0986
yraH, b3142
b1202, b1202
b1555, b1555
rspB, b1580
b1374, b1374
intD, b0537
b1998, b1998
fimC, b4318
pphA, b1838
yidL, b3680
yi91a, b0255
b1579, b1579
yqiI, b3048
b0359, b0359
yghT, b2986
yeiC, b2166
yafT, b0217
yihK, b3873
yi81_1, b0016
ydbD, b1407
yhhZ, b3442
yadC, b0135
yqhG, b3013
yjhA, b4313
trkG, b1363
tra8_2, b1404
ygcG, b2778
fimI, b4317
ssb, b4061
yraI, b3143
yjjB, b4365
b0395, b0395
idnT, b4267
b1556, b1556
leuO, b0076
b0499, b0499
uidC, b1615
ycdR, b1023
yedV, b1968
