locus_tag,mean_exp,gci,gene_name
b0005,5.5500555378364025,0.25808760585819124,yaaX
b0007,3.9914755245273095,0.2740479977769896,yaaJ
b0021,2.624164878501502,0.1124801187860578,insB-1
b0022,3.4638426215801443,0.012587286286448311,insA-1
b0034,4.632740858116013,0.06328998982357398,caiF
b0038,3.355165983794068,0.3534777807973487,caiB
b0039,4.351015354872095,0.1997777058567785,caiA
b0042,1.6367162855193316,0.1255615380704912,fixB
b0069,5.246120485749797,0.5921681179742871,sgrR
b0099,4.569023101610163,0.08295028137209225,mutT
b0107,3.64660717766492,0.0885671302371236,hofB
b0164,3.574484807495192,0.03728336268633336,yaeI
b0251,2.8592191973651673,0.11934660509175506,yafY
b0262,2.3976375595827046,0.06529505249720385,afuC
b0264,3.684392577189671,0.06364945292467265,insB-2
b0267,1.179780792018856,0.04259504850404431,yagA
b0271,3.8011236373080264,0.03402594007267314,yagH
b0274,3.6686228148735855,0.09469677249768224,insB-3
b0292,1.7338484919566626,0.07441148717040828,ecpB
b0296,4.126853596880602,0.16345016517998834,ykgM
b0311,4.927474667338797,0.15385058569732837,betA
b0323,1.5620377956687073,0.0911975907512023,yahI
b0324,5.401615403486541,0.03153629380864786,yahJ
b0344,2.532060386308685,0.1948234533492275,lacZ
b0355,5.053158773328722,0.2831340069247164,frmB
b0372,5.035924166148385,0.0980903340638366,insF-2
b0397,5.383312631951454,0.06407880183973552,sbcC
b0442,4.094539284509504,0.1225535692230021,ybaV
b0450,1.666945683058129,0.10691961458574709,glnK
b0467,5.51470639043068,0.07673502518529118,priC
b0479,4.986968715758745,0.23253780511194708,fsr
b0488,4.949329474258895,0.02358873883177217,ybbJ
b0503,4.262638188911359,0.03771567228017283,selU
b0559,1.8909926751460613,0.15839486118606708,ybcW
b0568,4.472126213628193,0.18095860641354697,nfrA
b0618,0.4370686024527125,0.12331234145440638,citC
b0621,3.6369108659213967,0.2554780623669178,dcuC
b0694,4.604916348385358,0.04991358604088107,kdpE
b0699,4.901969260684657,0.08414943428964992,ybfA
b0714,5.269363752157564,0.14645452778890342,nei
b0715,3.440675650656024,0.3994326109448589,abrB
b0797,5.254433178451609,0.2514050967671607,rhlE
b0799,4.827737211268484,0.2090733647792586,dinG
b0821,4.966754886989702,0.15432512487706768,ybiU
b0824,1.0371063561822236,0.21205074301038992,ybiY
b0825,3.913628866875457,0.1509413007152653,fsaA
b0843,4.250051584539581,0.255248941295203,ybjH
b0845,4.878379906385891,0.14211076209655285,ybjJ
b0848,3.6928606752210618,0.11258363543649332,ybjM
b0850,4.636998975450045,0.03963000475059417,ybjC
b0872,2.2864303835917323,0.2936435860333485,hcr
b0873,2.1443701936612647,0.2661463521818166,hcp
b0894,4.6305647476794976,0.42123193731209935,dmsA
b0895,4.040115039338503,0.24939378632983483,dmsB
b0896,4.288963407641525,0.09381862096622492,dmsC
b0960,5.38741820082738,0.06403944165716904,yccS
