GCI,gene_name
-0.20088083404545137,aas
-0.8010987389516591,aceA
-0.8422868050709584,aceB
-0.561454852718829,aceK
-0.6329797984026668,acnA
-0.3470342908919511,acnB
-0.030491480074712626,acrB
-0.31111034336535126,acrD
-0.5725588230246312,acs
-0.5558466191229172,actP
-0.8488724125305475,acuI
-0.4166464165106937,addB
-0.7049621284876924,adeP
-0.47233226186675153,adhE
-0.13658783531043978,adhP
-0.3581085980216955,agaV
-0.5521033877048063,agp
-0.5468732378826319,ahpC
-0.632649253448865,ahr
-0.2763790666519848,aidB
-0.22829387026249595,alaA
-0.6396802299017919,alaC
-0.4596913803624323,aldA
-0.6688812675373684,aldB
-0.05906345684715711,allR
-0.27209425546448973,alr
-0.5929285315679296,amiD
-0.8765110073066398,amn
-0.02058686757363424,ampE
-0.27403568976740184,amtB
-0.7178088994330516,amyA
-0.8522696394914406,anmK
-0.5206296994884422,apaG
-0.1266093492737435,apaH
-0.0458152603617145,appA
-0.5550918863128576,araF
-0.5560331720244578,arcA
-0.21364913068781488,arcB
-0.5587113333890389,argA
-0.8124085465222112,argB
-0.7548117377964664,argC
-0.8932483861262779,argD
-0.7328491714013065,argE
-0.7585830173037662,argF
-0.7054076031043361,argG
-0.5729723823718105,argH
-0.9003528346248334,argI
-0.28363850107442135,argR
-0.7359812802566481,argT
-0.636879415471764,arnB
-0.2531008395516295,aroA
-0.7722472923980359,aroB
-0.8693965359906479,aroC
-0.3530456702349772,aroD
-0.4510518054286687,aroF
-0.42544026640297616,aroG
-0.1952125354488583,aroH
-0.5863040089405728,aroL
-0.5848454261742226,aroM
-0.7990464169699408,aroP
-0.2970764374736152,arsC
-0.35122066706802074,artI
-0.8595071891810854,artJ
-0.1314419732590066,artP
-0.41829559843796815,asd
-0.5092413086212536,asmA
-0.18024555815975274,asnS
-0.7362801592764193,aspC
-0.1681513934223124,astC
-0.1749493286595072,astD
-0.2565260634932305,atoC
-0.32532421991930277,atpB
-0.32564530205928927,avtA
-0.2568011609637172,azoR
-0.2512444850775727,baeR
-0.534885494103431,baeS
-0.25881966864082995,bamE
-0.27584736922071607,barA
-0.5727837203282258,basR
-0.5481292519541974,bcsG
-0.6644452406272274,bepA
-0.6906538191547962,bfr
-0.144611399428451,bglA
-0.4602889421137064,bioA
-0.09999575875325298,bioF
-0.24684640437844374,bisC
-0.7129371416135468,btuE
-0.19367822873428547,can
-0.674872962733305,carA
-0.7809690005073171,carB
-0.5218505948524018,cas1
-0.015260035005104679,cbl
-0.38120742035542204,cca
-0.4682695473975915,cdsA
-0.716731617605962,chaB
-0.30547816600230676,chbB
-0.03178688654785421,cheA
-0.3492646698903236,cheY
-0.7706043672404144,chpB
-0.4902352186637484,clsA
-0.03653896854703115,cmoA
-0.20725972076875207,coaB
-0.1694967545616632,coaD
-0.21367414427386344,coaE
-0.4390580331241573,cobB
-0.1438294642325399,cobT
-0.711341823772415,codA
-0.5985974361580457,codB
-0.519435099479672,cohE
-0.13182584737119898,comR
-0.7947974966951293,copA
-0.3824153324217907,corA
-0.6618233427853197,corC
-0.8067686012500299,cpdA
-0.07031841364225193,cpdB
-0.6576018831892919,cpxA
-0.41394721327063344,cpxP
-0.7644958681264002,cpxR
-0.4246086800413183,cra
-0.013276184237889259,creA
-0.6423144840086822,crp
-0.7485672538609475,crr
-0.10082760554858775,csdE
-0.06759813106688126,cspD
-0.4683431025097503,cstA
-0.6059438304497182,cueO
-0.08431265823698181,cueR
-0.8021463574379273,curA
-0.542963735949731,cusA
-0.6336796613553581,cusB
-0.581851147770361,cusC
-0.6860369580073816,cusF
-0.8009782043793251,cusR
-0.6942668656667206,cusS
-0.5604706514918796,cutA
-0.41655245080065856,cvpA
-0.04726239503179324,cvrA
-0.7188041647938256,cyaA
-0.6365124689911524,cycA
-0.11355305573893264,cydA
-0.24835521541999123,cydB
-0.16753219671814562,cydC
-0.14111883756050553,cydD
-0.32085290663125055,cyoC
-0.6873218862731368,cysA
-0.04834499055343109,cysB
-0.3741689195567503,cysC
-0.38052756298449364,cysD
-0.5677023997116214,cysE
-0.5891920245433768,cysG
-0.4146314253453411,cysH
-0.7058066810548864,cysI
-0.5292294142812483,cysJ
-0.6511033016556812,cysK
-0.5081626380610202,cysM
-0.5875347167100536,cysN
-0.8074098234905124,cysP
-0.6181256027552005,cysQ
-0.6800162418715204,cysU
-0.5554867973098383,cysW
-0.021037343649486447,cytR
-0.7697815294428693,dacC
-0.06211484571519753,dapA
-0.7198314254467466,dcd
-0.1735559134554648,dcm
-0.7646911982165537,dcp
-0.1489122867295946,dctA
-0.2718952010783451,dcuR
-0.7057158660159977,dcyD
-0.6343778288365908,ddpA
-0.16871987036363054,degP
-0.8123294580717427,degQ
-0.7780938873061817,degS
-0.5554337259785727,deoR
-0.13025376772012226,der
-0.21468045575277475,dgoA
-0.2621109583334881,dgoD
-0.40707557517326315,dgoR
-0.6810957883857894,dgt
-0.2791809680615165,dhaK
-0.04753548584722002,diaA
-0.10747661181704617,dicA
-0.7437933173442778,djlA
-0.1354112938451876,dkgA
-0.08574320888016947,dkgB
-0.8931036482145497,dld
-0.10887086845144252,dnaA
-0.4737087644244002,dnaG
-0.2606756369424519,dnaX
-0.5571863973754705,dosC
-0.7844856152334307,dppA
-0.4547185717802911,dppB
-0.44572752588183095,dppC
-0.4179202294307582,dppD
-0.45562910359052755,dppF
-0.197114069325003,dps
-0.06482207854114287,dtd
-0.8867060227287944,ecnB
-0.8616565295796317,elaB
-0.10598272628631422,elbB
-0.05496699781610254,entA
-0.12602445953477656,entB
-0.2629363617554757,entE
-0.1467664836799761,entF
-0.24749692879908558,entH
-0.5386620438487749,envC
-0.6105454237886838,eptB
-0.790697216394525,erfK
-0.16321765908320096,eutB
-0.6013137443912118,eutC
-0.5263047594156237,eutL
-0.09379714150713062,eutM
-0.0745614733172173,exbB
-0.13312895758908194,exuR
