gene_name,GCI
b0002,0.15047059092758283
b0003,0.15105669790345214
b0004,0.14057156167750715
b0005,0.25808760585819107
b0006,0.24327307554889807
b0007,0.27404799777698946
b0008,0.38353479327593915
b0009,0.3244118869053837
b0015,0.062182579971907424
b0021,0.11248011878605776
b0022,0.012587286286448274
b0023,0.08771976679528562
b0025,0.31047229840041174
b0026,0.4700603804808218
b0027,0.5185991432085659
b0028,0.19319557602908055
b0029,0.23798549340791195
b0031,0.31174831212080906
b0033,0.15942203813316277
b0034,0.06328998982357399
b0038,0.35347778079734865
b0039,0.1997777058567785
b0042,0.12556153807049122
b0053,0.3496243178799191
b0055,0.11633869865879998
b0058,0.3730456764548793
b0059,0.4374471520186318
b0069,0.5921681179742869
b0080,0.0014679320248150646
b0082,0.27749578523942037
b0083,0.16147078759730285
b0085,0.23031262259042748
b0086,0.22063983389679862
b0088,0.18933974032121717
b0090,0.3425243305932538
b0091,0.3403662918785229
b0095,0.06503461637880922
b0097,0.2578050534937967
b0098,0.5678186814604119
b0099,0.08295028137209223
b0102,0.23790641431083764
b0103,0.20993464286555785
b0104,0.14961345802610398
b0107,0.08856713023712358
b0109,0.31790092319271185
b0114,0.27210330045508463
b0115,0.3209030074501669
b0116,0.0650035359918147
b0119,0.029810165003169995
b0120,0.17114194805272243
b0121,0.18786711550321752
b0123,0.4176851218081538
b0125,0.2607330312196727
b0127,0.18698357833366666
b0131,0.07560662769875164
b0133,0.44835288064091366
b0134,0.5159562270687983
b0145,0.007065009942163551
b0148,0.23232508974150942
b0149,0.045009249251800706
b0154,0.6553331001068782
b0159,0.15705404006220466
b0164,0.037283362686333296
b0166,0.4139205431163755
b0167,0.1382973473040112
b0168,0.41050156494928125
b0169,0.5800162136287585
b0170,0.7013566431756744
b0171,0.41494842007084726
b0172,0.1170881768819218
b0173,0.012010065106836837
b0178,0.1342755959341493
b0179,0.013441513637038481
b0180,0.2000369084641976
b0181,0.4811554215416086
b0182,0.21312777975634953
b0183,0.32227997127852526
b0184,0.2961263479283624
b0185,0.47941419361491155
b0190,0.10631641061524288
b0194,0.3883299019600873
b0196,0.07195868341941491
b0214,0.03992513056531378
b0222,0.27437274688878655
b0223,0.02906121411355852
b0237,0.44372541923788544
b0239,0.18466726560667526
b0242,0.47728793988708795
b0243,0.36193714893961715
b0251,0.1193466050917551
b0262,0.06529505249720388
b0264,0.06364945292467267
b0267,0.04259504850404428
b0271,0.034025940072673115
b0272,0.15803433535155234
b0273,0.03487583260938623
b0274,0.09469677249768228
b0287,0.04088366001734299
b0292,0.07441148717040824
b0296,0.16345016517998837
b0311,0.15385058569732837
b0312,0.14075041266281463
b0323,0.0911975907512023
b0324,0.03153629380864787
b0337,0.167343059306104
b0344,0.19482345334922743
b0355,0.2831340069247163
b0369,0.5066134073582805
b0372,0.09809033406383676
b0381,0.43542464916321466
b0386,0.14734519233973123
b0391,0.33449011840763976
b0393,0.15688440367927817
b0397,0.0640788018397355
b0401,0.47379685469604166
b0402,0.46097971748305455
b0406,0.0849435347202929
b0408,0.0763345874750116
b0410,0.09206691934833694
b0411,0.32072808259776314
b0413,0.14096719985531375
b0414,0.3108505406800591
b0415,0.23287985230609862
b0416,0.09374715505805281
b0423,0.09710013704341981
b0424,0.3192163828546296
b0425,0.3149027881341559
b0426,0.06177888411081917
b0428,0.22718438475344735
b0429,0.07755355761294229
b0430,0.2061360788508115
b0431,0.10289710826905941
b0434,0.14535708135327816
b0436,0.36454606911120746
b0437,0.375692942428181
b0438,0.2865845375400764
b0439,0.16521157263667613
b0441,0.3770867389597892
b0442,0.12255356922300209
b0444,0.16738709472462526
b0450,0.10691961458574704
b0452,0.07744106902581266
b0459,0.19460438359846405
b0462,0.2592888230863248
