gene_name,GCI
AAT2,0.3439175906344085
ABF1,0.13635854644122455
ABP1,0.03346290022887098
ACL4,0.1498507307669464
ACO2,0.15000865847910472
ACP1,0.6993199412308312
ACS2,0.41235715114723764
ADE12,0.5650977128598963
ADE13,0.18897597675249103
ADE16,0.14190673082319286
ADE17,0.43548271683585943
ADE2,0.09657999868744561
ADE3,0.7353892088729759
ADE4,0.5365043979370748
"ADE5,7",0.3011515819602194
ADE6,0.3881767895745403
ADE8,0.7916604569092957
ADK1,0.0943146448953497
ADO1,0.1366021120098586
AFG2,0.0298052379583126
AFG3,0.27198707014389034
AGE2,0.2206623338376847
AIM19,0.284275321914642
AIM34,0.34577307976430555
AIM36,0.6531410038811395
AIM39,0.08590478701940032
AIM45,0.38801339282138037
AKL1,0.03471930933168037
ALA1,0.4819983195137671
ALD6,0.15501943253457928
ALG3,0.1825389288253566
ALK1,0.13421055562054685
ALO1,0.2998966980185358
ANP1,0.7002383018368884
APM3,0.2691928010578725
APS1,0.19965636067985443
APT1,0.07432823149861856
ARC1,0.4936914845594383
ARC18,0.11415370389321731
ARD1,0.4527331349258499
ARE2,0.09084330776845237
ARF1,0.41703987941152915
ARF2,0.3481669109293097
ARO2,0.27597758437074216
ARO7,0.5405585147603318
ARO8,0.760614458771154
ARP5,0.17199534897656352
ARP7,0.5132118415300913
ART10,0.19043623761754416
ASC1,0.6861066241615477
ASF1,0.4062790088976562
ASN2,0.05226342676025613
ASP1,0.7181515621674025
ASP3-4,0.1108532049366064
ATE1,0.3400622045030182
ATG18,0.1880707547721608
ATG32,0.3365585492689696
ATP10,0.029687192902164726
ATP11,0.6059231095416405
ATP12,0.5958361398555558
ATP17,0.0855323274650328
ATP2,0.3029518795044498
ATP23,0.24794305150841328
ATP25,0.05993259129360319
ATP3,0.12036208500049328
ATP7,0.27839474480113613
AVO2,0.05680569645413205
AVT1,0.3054892723951685
AVT4,0.3131213575358837
AVT7,0.3871825628655953
BAT1,0.7800284876901891
BCS1,0.15041312068994314
BDH1,0.1934632170654827
BDS1,0.1634546459933167
BEM3,0.4410865923796389
BER1,0.15589062028549788
BET3,0.07535651155158708
BFR1,0.264478906775306
BIO2,0.32401557956853533
BMH1,0.0647895058223567
BMH2,0.06291986636943052
BMS1,0.9353599729534685
BNA3,0.12451418573140052
BNI1,0.11218880815622231
BOI1,0.1480942246430745
BOS1,0.13632132127639027
BRE5,0.5557224868771085
BRX1,0.5073984163476778
BUD13,0.4361571793632522
BUD14,0.25145822373846244
BUD16,0.31158963376333515
BUD20,0.2650540590568151
BUD22,0.19056717394622588
BUD23,0.7160909605460202
BUD3,0.13265083975516925
BUD32,0.18872566035547753
BUD4,0.5248595483819108
BUD6,0.15037603781162376
BUG1,0.22952312498782887
CAB3,0.3065321264536781
CAC2,0.3103916520160111
CAF120,0.5631405169180523
CAF4,0.21045980275037615
CAN1,0.16064370505298473
CAP2,0.009220150818670454
