GCI,gene_name
0.2708970950747419,ABD1
0.32266725551198594,ABF1
0.02341736228926739,ABP1
0.16690126815058418,ABP140
0.1415786861387714,ABZ1
0.3120715550291844,ACL4
0.03257952958252347,ACO1
0.6830427026204321,ACO2
0.5591751400962699,ACP1
0.1890044297615235,ACT1
0.07405968683249349,ADD66
0.5798486265861557,ADE1
0.6414060133807842,ADE12
0.6873892096620827,ADE13
0.7717955636229917,ADE17
0.6426105594838758,ADE2
0.7033786840695012,ADE3
0.728531922188674,ADE4
0.6131390101646856,"ADE5,7"
0.6220979333456893,ADE6
0.6932590862094772,ADE8
0.03983298100299808,ADH1
0.7337314863558909,ADH3
0.6580974090077564,ADH6
0.7107067369843666,ADK1
0.7008745230211982,ADO1
0.16129042609058875,AEP1
0.32875235858908847,AEP2
0.7948152168208932,AFG2
0.022202781848971242,AFG3
0.5576483946248798,AGC1
0.26847930837990597,AGE2
0.4095346283840814,AIM10
0.5221955393036809,AIM22
0.392793686487094,AIM34
0.6100246905671296,AIM36
0.6975578622413788,AIM45
0.48267752231122474,ALA1
0.14649274939779547,ALD5
0.4493206156791848,ALG3
0.7898576805391296,ALG5
0.7274084194155777,ALG8
0.36325026975686586,ALK1
0.04119107227750741,AME1
0.5285344158744842,AMN1
0.2822864652916195,ANP1
0.3236429313164373,APA1
0.20835159984995852,APE1
0.31617831407618374,APE4
7.307317871718662e-4,APL3
0.3082410145423657,APL4
0.5417710293349298,APL5
0.48125612296902015,APL6
0.36194495462792936,APM1
0.709211904270896,APM3
0.7421421683446706,APM4
0.5005503673925976,APN1
0.7727843177593553,APT1
0.2550876818644105,ARB1
0.5575987433882285,ARC1
0.528510194949523,ARC35
0.3675595826168396,ARC40
0.6746383694385569,ARD1
0.14856011794904514,ARE2
0.9015077793209121,ARF1
0.2989835233801805,ARG2
0.13977403382212614,ARG3
0.4574519170337074,ARG4
0.26977790824685105,"ARG5,6"
0.016583764278603363,ARG7
0.2573558651146862,ARG8
0.6911290180651715,ARL1
0.5655179693405782,ARO2
0.0066903081606565626,ARO3
0.2904705071516128,ARO4
0.8287603803033547,ARO7
0.5969533146804662,ARO8
0.22567129292592916,ARP2
0.5202652740316785,ARP5
0.6883106467207734,ARP7
0.8769087107033463,ARP9
0.8192925813320323,ASC1
0.2975944283710438,ASF1
0.30369336346183395,ASG1
0.15708256740862023,ASH1
0.0948354709847773,ASN1
0.3181746844571716,ASN2
0.8487197659553265,ASP1
0.4090816262673451,ASP3-4
0.20267128190827002,ATM1
0.2359266746735802,ATP10
0.8254026399993493,ATP11
0.7478149353887918,ATP12
0.014429253215985332,ATP17
0.20743817274333703,ATP2
0.4697601074874538,ATP20
0.7199294036382806,ATP23
0.5760158058668884,ATP25
0.07178150447478453,ATP3
0.07428845077367974,ATP4
0.06393535317615422,ATP5
0.20792737990562035,AVT1
0.19977321724705988,AVT4
0.31011325048074523,AVT7
0.18638914890687658,BAR1
0.717407595864832,BAT1
0.7403805532232467,BBP1
0.45811965380710296,BCH1
0.02195398013424735,BCH2
0.701315226832952,BCP1
0.7547634895279514,BCS1
0.28763252592648725,BDF1
0.5704964564208369,BDH1
0.04789763924396544,BDP1
0.006758769714890827,BDS1
0.6439334011073303,BEM2
0.6670619755053055,BEM3
0.8879965423468447,BER1
0.21109068529180125,BET1
0.06881246955939582,BET4
0.8073400772066933,BFR1
0.24521031052269243,BGL2
0.6801296948117228,BIO2
0.8975896009420242,BMS1
0.13994402918305987,BNA3
0.7734435089792501,BOI1
0.5394641037704818,BRE1
0.07392722296585551,BRE4
0.8921732852848823,BRE5
0.6969756646239789,BRX1
0.1476771365648182,BUB3
0.22738289931116037,BUD14
0.7690324855045035,BUD16
0.7572434735142172,BUD2
0.1907482709041198,BUD20
0.7042444451707549,BUD22
0.8747672442848055,BUD23
0.21125566693743142,BUD3
0.6800552588974734,BUD32
0.8122991733114102,BUD4
0.0032677421057626345,BUL1
0.6656889035052244,CAB3
0.33414598941282203,CAC2
0.2155570251626975,CAF120
0.05322135852611197,CAN1
0.528326684541706,CBC2
0.18787079288625982,CBF1
0.38398853712106146,CBF2
0.8205343282051311,CBP1
0.5166187964794511,CBP2
0.8698470076243879,CBP3
0.7445491596533323,CBP6
0.041373930362537475,CBS2
0.39572459163968277,CCA1
0.6146958120117435,CCM1
0.07012406944703498,CCR4
0.0016425552293716627,CCS1
0.5202717514220296,CCT2
0.5168003571284235,CCT3
0.7480982116539366,CCT4
0.823469533540244,CCT5
0.4286282152304257,CCT7
0.4052048287944844,CCT8
0.7729306576467431,CDC11
0.5621419517672648,CDC12
0.2765947354426522,CDC123
0.4822682999057673,CDC14
0.5532289424758138,CDC21
0.29758312175931473,CDC24
0.6440209341361033,CDC3
0.8789161556962853,CDC33
0.6937173457145068,CDC39
0.26322825478153195,CDC42
0.8206825145893719,CDC60
0.1471879270817433,CDC73
0.7191051902279741,CDC9
0.5668843768139167,CDS1
0.26801473382848906,CEX1
0.6377910797010451,CGI121
0.45301890299014397,CHD1
0.3623333439311732,CHO1
0.1792150877532484,CHO2
0.21106284205681836,CHS2
0.1235942541168329,CHS5
0.7408849841557781,CIC1
0.6046826212882965,CIN8
0.7451016814595103,CIR1
0.22245838387362107,CIS3
0.7593392269601383,CKA1
0.4390298912331775,CKA2
0.1535734765296767,CKB2
0.39609645627869156,CKI1
0.6881958288210406,CLU1
0.3518546133685003,CMC1
0.33899226108419644,CMC2
0.28630421610548396,CMK1
0.28715243352561637,CNM67
0.27804387900048677,COA1
0.21367876812605996,COF1
0.3854273551333281,COG3
