locus_tag,mean_exp,gci,gene_name
b0002,10.02885851518459,0.15047059092758286,thrA
b0003,9.776098426249323,0.15105669790345216,thrB
b0004,9.849752459974049,0.14057156167750728,thrC
b0006,6.8518460442591405,0.24327307554889807,yaaA
b0008,11.132111350122544,0.3835347932759393,talB
b0009,6.376712087937451,0.32441188690538386,mog
b0015,8.14493979195148,0.06218257997190742,dnaJ
b0023,10.561785549518524,0.08771976679528565,rpsT
b0025,8.377244641863157,0.3104722984004119,ribF
b0026,9.482443628857649,0.47006038048082177,ileS
b0027,7.486550144550645,0.5185991432085659,lspA
b0028,7.285013780443891,0.19319557602908055,fkpB
b0029,7.634314997425796,0.23798549340791225,ispH
b0031,8.49485481644275,0.311748312120809,dapB
b0033,8.845843620210202,0.1594220381331628,carB
b0053,8.996545364443234,0.3496243178799195,surA
b0055,5.954759123594834,0.11633869865879992,djlA
b0058,5.700656130448398,0.3730456764548792,rluA
b0059,6.399608210378154,0.4374471520186322,rapA
b0080,7.30967384628716,0.00146793202481507,cra
b0082,7.804811061011991,0.2774957852394205,rsmH
b0083,6.444895925464937,0.16147078759730288,ftsL
b0085,7.747650438186693,0.23031262259042748,murE
b0086,7.579816680050326,0.22063983389679853,murF
b0088,7.46472045371453,0.1893397403212173,murD
b0090,7.030559547024163,0.342524330593254,murG
b0091,7.810525843698195,0.3403662918785231,murC
b0095,9.640128459879197,0.06503461637880918,ftsZ
b0097,7.683643654936589,0.25780505349379673,secM
b0098,8.40962108145123,0.5678186814604126,secA
b0102,7.165189657698566,0.2379064143108377,zapD
b0103,6.538448806475441,0.20993464286555796,coaE
b0104,8.722564467900618,0.1496134580261039,guaC
b0109,7.060508383302358,0.3179009231927118,nadC
b0114,10.470779558869175,0.2721033004550845,aceE
b0115,10.120466868814004,0.3209030074501668,aceF
b0116,10.87522017749892,0.06500353599181466,lpd
b0119,6.383871900344565,0.02981016500317001,yacL
b0120,8.76213499304724,0.17114194805272248,speD
b0121,8.532359455617344,0.18786711550321755,speE
b0123,7.908426963253549,0.4176851218081538,cueO
b0125,7.979037020340026,0.26073303121967256,hpt
b0127,6.607761778322712,0.18698357833366663,yadG
b0131,9.484720571363775,0.07560662769875168,panD
b0133,9.114015788122527,0.4483528806409135,panC
b0134,8.861413509303638,0.5159562270687981,panB
b0145,9.760247498262997,0.00706500994216351,dksA
b0148,5.621659017984396,0.23232508974150945,hrpB
b0149,6.671613719262032,0.04500924925180075,mrcB
b0154,8.213076960884367,0.6553331001068778,hemL
b0159,8.75017165951834,0.15705404006220472,mtn
b0166,10.467340216846338,0.413920543116376,dapD
b0167,6.4047763985088215,0.13829734730401125,glnD
b0168,9.120248930718027,0.4105015649492814,map
b0169,11.82775989435526,0.5800162136287584,rpsB
b0170,10.801267964925856,0.7013566431756746,tsf
b0171,8.06745950133884,0.41494842007084715,pyrH
b0172,10.108397277448834,0.11708817688192198,frr
b0173,5.638192599302291,0.01201006510683682,dxr
b0178,9.701900577453184,0.13427559593414973,skp
b0179,9.74065236493826,0.0134415136370382,lpxD
b0180,9.396267550051755,0.20003690846419775,fabZ
b0181,9.129732490160713,0.4811554215416084,lpxA
b0182,7.514432175839353,0.2131277797563495,lpxB
b0183,6.3543995906983914,0.3222799712785253,rnhB
b0184,7.01701535507023,0.29612634792836234,dnaE
b0185,9.119387645633124,0.47941419361491167,accA
b0190,6.004146779346865,0.10631641061524286,yaeQ
b0194,9.280611155092778,0.3883299019600871,proS
b0196,7.742144233507837,0.07195868341941494,rcsF
b0214,6.169428337529261,0.03992513056531378,rnhA
b0222,8.743340952877185,0.2743727468887866,lpcA
b0223,7.182411653273317,0.02906121411355856,yafJ
b0237,9.055446673057949,0.4437254192378854,pepD
b0239,6.922182999511801,0.18466726560667532,frsA
b0242,8.384963483301135,0.4772879398870882,proB
b0243,8.15258500290927,0.3619371489396174,proA
b0272,6.354900906451576,0.1580343353515523,xynR
b0273,8.236657789243964,0.03487583260938627,argF
b0287,8.001571530466762,0.0408836600173429,yagU
b0312,5.884809451219676,0.14075041266281463,betB
b0337,7.749532088646425,0.167343059306104,codA
b0369,7.798745902293087,0.5066134073582805,hemB
b0381,7.025780443350034,0.43542464916321494,ddlA
b0386,7.446326429738283,0.14734519233973128,proC
b0391,7.944436548398667,0.3344901184076398,ppnP
b0393,7.168194708697106,0.1568844036792782,rdgC
b0401,6.246374655305481,0.4737968546960421,brnQ
b0402,6.013624684331711,0.4609797174830546,proY
b0406,7.853338682086544,0.08494353472029297,tgt
b0408,8.612679551397667,0.07633458747501153,secD
b0410,7.447806851577019,0.09206691934833695,yajD
b0411,8.972974702653717,0.32072808259776303,tsx
b0413,7.510946729998164,0.1409671998553139,nrdR
b0414,7.33702947426525,0.310850540680059,ribD
b0415,7.931965355622095,0.23287985230609887,ribE
b0416,8.767679134865181,0.09374715505805284,nusB
b0423,6.827716443498438,0.0971001370434199,thiI
b0424,6.5064852669342645,0.3192163828546296,yajL
b0425,6.763802548104459,0.3149027881341559,panE
b0426,9.28812255643507,0.06177888411081916,yajQ
b0428,8.79075110913189,0.22718438475344743,cyoE
b0429,7.772076278564987,0.07755355761294226,cyoD
b0430,9.004972318187347,0.20613607885081148,cyoC
b0431,9.996633132172308,0.10289710826905953,cyoB
b0434,8.374269611322715,0.1453570813532782,yajG
b0436,10.92350471002154,0.3645460691112078,tig
b0437,9.343841303161463,0.3756929424281808,clpP
b0438,9.792556126038155,0.28658453754007707,clpX
b0439,8.611715295188095,0.16521157263667627,lon
b0441,8.753641668315856,0.3770867389597893,ppiD
b0444,6.428922691202113,0.16738709472462532,queC
b0452,6.517917127004718,0.07744106902581269,tesB
b0459,5.661132992786087,0.19460438359846408,maa
b0462,8.102577713861903,0.25928882308632484,acrB
b0463,7.837188881489023,0.3120769957556445,acrA
b0465,6.281244304469439,0.05096672509544442,mscK
b0469,8.184549914455715,0.2653610464453572,apt
b0470,7.173072453799801,0.29782617096830205,dnaX
b0471,8.830804778106183,0.14691807479878688,ybaB
b0472,8.447206524915952,0.28203979725161626,recR
b0473,8.721785470549063,0.14601363980031318,htpG
b0475,5.758677824867852,0.13218110716363898,hemH
b0477,6.4882714700666595,0.13877518019713816,gsk
b0481,6.5406601514400204,0.19292327005034848,ybaK
b0482,5.803522260994411,0.06767902352655614,ybaP
b0484,8.727770784003894,0.2572670098077512,copA
b0492,8.121911033588406,0.1605890472781927,cnoX
b0493,6.587978041877752,0.3901516960766857,ybbO
b0494,6.0683325258291205,0.16112518575632914,tesA
b0524,6.027986847333827,0.08835407072900868,lpxH
b0526,7.749761493416583,0.3554954038667973,cysS
b0529,8.227050747933744,0.19774936055677383,folD
b0557,6.932801992756099,0.22598269924054248,borD
b0578,8.593194857326376,0.4314231638662337,nfsB
b0605,12.2170410511732,0.00372229545162447,ahpC
b0606,8.744777192817532,0.3808566117578034,ahpF
b0607,6.994587340176654,0.1911258415240468,uspG
b0610,7.081953414484939,0.19202173877014636,rnk
b0611,7.088718841385075,0.25143254299538437,rna
b0632,8.01133546795405,0.0200584721989656,dacA
b0633,7.901372150918716,0.06991089447134498,rlpA
b0636,6.563014541775884,0.2092661050538808,rlmH
b0641,8.592615072393128,0.17417059726458275,lptE
b0642,9.00715428748149,0.1260635907603736,leuS
b0661,7.878693139865581,0.01379121290123548,miaB
b0662,6.75635028546426,0.25594868150007294,ubiF
b0674,7.800726549628647,0.3168816346033362,asnB
b0675,7.793284865415384,0.22266039738571075,umpH
b0676,7.326521370776346,0.10871528271317071,nagC
b0677,7.013913011166402,0.15115737917594768,nagA
b0678,7.290905236793571,0.21528757583507321,nagB
b0679,7.242578759871199,0.2417852172196601,nagE
b0680,8.97218927340744,0.5014896035314582,glnS
b0686,6.3163573380716835,0.05666917608173833,ybfF
b0687,8.203899414152504,8.3588735245944e-4,seqA
b0710,7.752512626133648,0.04120857284179174,ybgI
b0711,7.491251823662065,0.04417250637146269,pxpB
b0712,7.468488064538593,0.04745889082627309,pxpC
b0713,6.746035988560362,0.09900496557049672,pxpA
b0733,9.088166997985391,0.36363241389752615,cydA
b0734,8.739523861786704,0.2596147402750785,cydB
b0741,11.26245979005481,0.10001940721237172,pal
b0752,5.588010388168505,0.02875832140559205,zitB
b0754,10.04118284966213,0.1101622286813206,aroG
b0758,6.053941918529373,0.13485375069568464,galT
b0759,6.865629519228211,0.14214128961008649,galE
b0766,5.947086917872601,0.12998231878450672,ybhA
b0772,8.033127691787683,0.11418132254041433,ybhC
b0781,7.814031564666398,0.1705721868197953,moaA
b0794,5.674747548635954,0.05862730862165097,ybhF
b0795,5.944165587677536,0.08758505568513691,ybhG
b0796,5.642575611360367,0.22753550966022024,cecR
b0800,7.460024172471452,0.11015867079921064,ybiB
b0801,8.492823251077516,0.02953829107088148,hcxB
b0814,11.441577889067702,0.3101050226313658,ompX
b0820,7.572289748560748,0.03501657393564875,ybiT
b0822,6.470994030817552,0.04104042849134936,ybiV
b0826,5.974492778637391,0.24336214311043183,moeB
b0827,6.417761810980215,0.3868719115398353,moeA
b0851,6.369809990845738,0.00887924296559242,nfsA
b0852,5.61286292261389,0.0675540722802403,rimK
b0860,9.54072080201175,0.02785446422300459,artJ
b0877,8.32815330640548,0.30907812355166897,ybjX
b0886,6.694933503404641,0.1474610100859056,cydC
b0887,5.888773695136934,0.15906210315256417,cydD
b0888,8.950009082575173,0.27962879788223866,trxB
b0891,7.271530843070363,0.05704235536350013,lolA
b0893,9.684601779030348,0.6276506855062001,serS
b0902,7.242242528429998,0.2803378734232562,pflA
b0903,11.229943122459618,0.13081491485070376,pflB
b0904,7.6489085534234516,0.1380129833210289,focA
b0905,6.8491202099353226,0.3519762223783881,ycaO
b0908,8.580710093249104,0.03229167219274912,aroA
b0911,11.988369833355966,0.04104703917643838,rpsA
b0918,7.871307135183575,0.21311348798785265,kdsB
b0919,5.72381119895217,0.2544595602674752,ycbJ
b0924,7.676083979157014,0.34755556293217116,mukB
b0925,6.745518194977185,0.06113996522818594,ldtD
b0928,10.079418600788438,0.04211259291547503,aspC
b0930,9.77044126308773,0.05272858490102634,asnS
b0948,6.744383332210724,0.11583915625382354,rlmL
b0949,7.022500968389028,0.11835542432154422,uup
b0956,6.768372509473912,0.2223742730386651,matP
b0957,13.95555589972992,0.28167681073703305,ompA
b0962,6.590171849983835,0.03611512901120116,helD
b0967,6.7561699578877406,0.02251111896542826,rlmI
b0969,5.816296810396519,0.02926846566987658,tusE
b1033,7.434785953258648,0.402776452850616,ghrA
b1034,7.713010844872243,0.12428658869978346,ycdX
b1035,7.393853915983323,0.2264927248984743,ycdY
